country,date,count
SI,2013-06-01T00:00:00.000Z,6
US,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,107
AU,2013-06-01T00:00:00.000Z,1
RU,2013-06-01T00:00:00.000Z,3
US,2013-06-01T00:00:00.000Z,56
NL,2013-06-01T00:00:00.000Z,3
CA,2013-06-01T00:00:00.000Z,2
US,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,3
NL,2013-06-01T00:00:00.000Z,1
NG,2013-06-01T00:00:00.000Z,25
US,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,33
KR,2013-06-01T00:00:00.000Z,1
IS,2013-06-01T00:00:00.000Z,1
US,2013-06-01T00:00:00.000Z,16
MY,2013-06-01T00:00:00.000Z,14
AU,2013-06-01T00:00:00.000Z,1
CA,2013-06-01T00:00:00.000Z,3
US,2013-06-01T00:00:00.000Z,1
ID,2013-06-01T00:00:00.000Z,1
PH,2013-06-01T00:00:00.000Z,5
MY,2013-06-01T00:00:00.000Z,1
TR,2013-06-01T00:00:00.000Z,1
JP,2013-06-01T00:00:00.000Z,1
SI,2013-06-01T00:00:00.000Z,1
GT,2013-06-01T00:00:00.000Z,2
FR,2013-06-01T00:00:00.000Z,1
ZA,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,12
US,2013-06-01T00:00:00.000Z,72
EC,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,22
NL,2013-06-01T00:00:00.000Z,68
AU,2013-06-01T00:00:00.000Z,5
FR,2013-06-01T00:00:00.000Z,3
FR,2013-06-01T00:00:00.000Z,1045
NG,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,126
NL,2013-06-01T00:00:00.000Z,2
ZW,2013-06-01T00:00:00.000Z,1
MY,2013-06-01T00:00:00.000Z,7
PH,2013-06-01T00:00:00.000Z,11
NL,2013-06-01T00:00:00.000Z,55
NL,2013-06-01T00:00:00.000Z,6
NL,2013-06-01T00:00:00.000Z,2
PH,2013-06-01T00:00:00.000Z,1
NL,2013-06-01T00:00:00.000Z,4
